Negative 	 Enna da ellam avan seyal  Mari iruku
Positive 	 Thaliva ni vera Laval... Love you anna
Positive 	 Sekkiram release pannukappa nallapadam parthu nalachi.
Positive 	 10.5 m 3 clock kulla varuma
Positive 	 THALA fans faster 1m likes varanum 4 days achi wat happen
Positive 	 ippo intha trailer ah parkuravana oru like podunga
Positive 	 Morning lindhu trailer pathuttu yavalo comment likes checkpannite erukravange like podunge
Positive 	 neraya neraya neraya neraya neraya neraya.
Positive 	 Epo yaralaa trailer pathuttu erukinge like podunge
Positive 	 viswasam Ku irundha opening iduku illa y🤔.still only 10 M.viswasam trailer 14 M in one day.edo onu miss aavudu
Mixed_feelings 	 Bhai jo mera channel subscribe karega me uska channel subscribe karunga
Mixed_feelings 	 pls hindi me dubbed  krna  kyu ...
Negative 	 Ajith amma koothi   Surya fan da
Negative 	 Ajith amma koothi    Surya da
Negative 	 Ajith pundai waste    Surya anna mass
Negative 	 Ajith kumar mutta punda nadippin nayakan tha king
Negative 	 Ajith punda mavan surya anna kitta nerunga mudiyath
Positive 	 Thala Vellhai mudi parthu parthu salichi pochupa......
Positive 	 thanga tamil mannan enga thala daa
Negative 	 Ajith kummar thevidiya mavan avA ammave okkanum
Positive 	 thala yoda nalla manasuku ellaamay nallathavay nadakum 2019 mega blockbuster Movie nkp thaan ithula entha santhegamum kidaiyathu
Positive 	 Thala yoda dialogue delivery ovvonrum sema mass ah iruku goosebumps overloaded
Positive 	 enna mathiri thala veriyarkal oru like podunga
Positive 	 Marana waiting for nkp fdfs ku
Positive 	 pangaaligala trending no 1 ku kondu vaanga
Mixed_feelings 	 need combination of thala mohanlal or pavan kalyan
Positive 	 Thala Solla Vaarthaiye Illa Vera Level....
Positive 	 Idhe velaiyaga iruppavargal Inge like podunga
Negative 	 naan  thala veriyandaa Thala patthi evanavathu thappa pasuninga sanga aruthiruven
Positive 	 U1 bgm vere level solluravnge like podunge
Positive 	 Thala naa Mass  Thala naa Class  Thala naa Gethu daa
Negative 	 ithu tamil nadu ella ithu enga thala nadu daa
Positive 	 Thala yoda last dialog sema mass Vera level nu soldravanga oru like pannunga
Positive 	 Paathute iruken marubadiyum marubadiyum Avlo pudichiruku  only for thala nd U1
Positive 	 Thala yoda look sema mass nu soldravanga oru like pannunga
Positive 	 Thala pola varuma  Thala eppavume mass Vera level
Positive 	 Ethana Peru pathutrikkinga inga like pannunga
Positive 	 Innum neraya neraya nerya, neraya views varanum.... Thala Rock
Positive 	 Ena pa ipdi iruku Vera level..
Positive 	 can not wait for thala movie ................v love thalaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
Mixed_feelings 	 Trending  Singapore no 1 India no 2 Sri Lanka no 2 Malaysia no 3  Rocking.........
Positive 	 Reached 10m views superb Thala always mass Vera level enum neraya neraya neraya neraya neraya .
Positive 	 10.1M Views with 771k likes
Positive 	 Need 29k to make it 800k likes ....
Positive 	 #1 trending in #Srilanka  #3 trending in Malaysia  #9 trending in India
Positive 	 Daily 25 time pathalum puthusa pakura mathiri than irukku. Thala acting yuvan music sema
Positive 	 love status luka chuppi movie song edit   & support
Positive 	 Tharamana sambavam irukku Aug 10 annaikku wait
Positive 	 Sarkar kitta kooda nerunga mudiyala just 10million views
Positive 	 Who is best trailer...?  Nerkonda paarvai   Sindhubaadh
Positive 	 Dailyum Thala ya pakkama irukka mudiyala
Positive 	 NKP TRAILER SUCCESSFULLY REACHED 10 MILLION VIEWS
Positive 	 many many many many many many
Positive 	 Innum Niraya Niraya Niraya Niraya M Thevai pangaaligala
Positive 	 Pangalingala Nalaiku Namaku energy venum so Ellarum poi thoongunga good night ‍‍‍‍‍‍
Positive 	 Views innum neraya neraya neraya neraya irukanum all thala fans no 1 trending la thirumbiyum poyiralaam
Positive 	 Yov  YouTube admin Views ah Upload Pannuya
Positive 	 Oruthar mela visvaasam kaatradhukaga inoruthara yen asinga paduthuringa sema
Mixed_feelings 	 Amithp and thala billa and ragini ithan enga thala
Positive 	 All ways love u thala....ur my dad.....
Positive 	 Intha Mathiri ponungaluku yellam ipdithan nadakkum... Apdilam nadaka kudathu
Positive 	 Yaralaa 12:10 thungame  trailer 10m kage pathuttu erukinge
Positive 	 En thalaya Kaevalama pesuna Ella ippa Thirruppi paakkarunga
Positive 	 Yaralaa verithanama wait panittuerukinge 10m aguruku
Positive 	 31K for 800k likes thala fans????
Positive 	 9,974825 laye 10 minutes apdiye views nikudhu
Positive 	 Inniki target reach panniduvom Nalaiku nammaloda target 11 million views
Positive 	 Dei ennada views ah pause panni vachu irukkeenga
Positive 	 Kannu sokkudhu.... Ada 10M views seekiram vayya... Seekiram vayya
Positive 	 Enna Mari veetuku Theriyama ippa trailer parkuravanga Yaravadhu irukeengala
Positive 	 INDvsPak aavathu mudiyavathu.... Waiting 4 10M views
Positive 	 Friends yalaru Link  Share panuge
Positive 	 Innum 29 k balance Pangalingala come on
Positive 	 1M like ku waiting panravaga like pannuga
Positive 	 Dear haters Ungaluku trailer pudikalana parkadheenga Ungala Yarum inga vara soli varpuruthula Dhayavu senchi aduthavan santhosathula mannalli padadheengada
Positive 	 Seekirama 10M views Vara vainga.... Good night solanum
Positive 	 king  of you tube Thala.
Positive 	 paarvai gta 5 version
Positive 	 Innum 39000 Views dhan iruku ‍‍‍‍‍
Positive 	 Enna mairu da panraem fans likes yethungada
Positive 	 YouTube Admin  Engalukaga REPEAT MODE vainga
Positive 	 Innum 44200 views balance  adichi thookalamaa ‍‍‍‍‍‍‍
Positive 	 Enna Mari YouTube LA ye kuduthanam panravanga comment pannunga thala bloods
Positive 	 4 days aah srilanka la trending#1
Positive 	 Thala Yuvan combo  enrale Padam super hit dhan
Positive 	 Innum 51K views irukku.... Oru view pathuttu oru comment... Innaikku ni8 kulla 10M views and 100K Comments... Therikka vidrom
Positive 	 Thala na Thala dhan Paa
Positive 	 Enga veedla 5 perukku ticket book panniyachi.... Marupadiyum viswasam moments
Positive 	 Rangaraj pandey fans hit like 🤣🤣🤣🤣
Positive 	 Thale ni va thala nanga erukom
Positive 	 Ippa trailer parkuravanga oru comment pannunga thala rathangale
Positive 	 Thala naa mass  Mass naa Thala
Positive 	 Petta - Marana Mass Official Video (Tamil) | Rajinikanth ... - YouTube
Positive 	 No 1 trending again Vara vainga friends
Positive 	 Trailer likes romba kammiya irku... Thala fans ena panranga
Positive 	 Ennada 4days aachi inuom sarkar  trailer ah Ungala beat panna mudiyala
Positive 	 Niraya Fans Match Pakka Poitanga Pola
Negative 	 Ennada 10M views ku 5th day laye ivlo mukkudhu nu solra bot anil p*** pasangala... No bots no Visay
Positive 	 500 thadave ki melle pathavange like bodunge
Positive 	 Bgm na adhu u1 dha adcheka mudiyadhu
Positive 	 4 days #2 trending  Mass of thalaaaaaaaaaaaaaaa  No one can touch the thala feet
Positive 	 Thala naa Great  Great naa Thala
Positive 	 Padam Partha piragu Niraya Per like Poduvanga  Pola .
Negative 	 petta paraak last black shirt theriii thalaivaaa
Positive 	 Nalla iruku aana etho miss aaguthu
Negative 	 Thalaivaaaaaaa yen kadavulaaaeess Proud to be ur fan
Positive 	 Pakka Mass irukkaru Thalaivar  Poglalukku Confirm Thalaivar treat tha
Positive 	 39 views 8.1k likes 93 dislike....🤣
Negative 	 Adichu underwear oda voda vitturuven
Negative 	 Sirapana tharanama sambavanga inumey dha pakka pora
Positive 	 Thalaiavar mass pannirukaru polaye Vijay sethupathy ah sonna 🤣🤣
Mixed_feelings 	 Ppaaa yenna style. Thalaivar yeppavum mass intha time marana mass. KS bro tq.....
Positive 	 Rajni kanth and Vijay sethupahi Maas.
Positive 	 90s thalaivaaaaaaaaaaa is back in action
Mixed_feelings 	 Thalaivaa verra level marana mass trailer
Negative 	 Indha Siva Va nenacha dha Paavama iruku
Negative 	 After a long time Thalaivar look...yeppaa...semmaaa...  Vere leaveldialoge vere leavel  anirudh bgm vijaysethupathi..mass total.. petta.... kola mass...doiii...
Negative 	 Inime than sirappana tharamana sambavangala pakka poringa..... Best wishes for thalapathy fans
Positive 	 Naa paathuten da.. 40th view da... Oooooo.. Vera level
Mixed_feelings 	 Oru trailerlaye ivlo goosebumpnaa apo filmla
Positive 	 Vijay sethupathi fans like ah podunga
Positive 	 Sema Sema sema Mass mass mass
Negative 	 Pakkathana pore intha Kali oda aadathaaa
unknown_state 	 Srilankan vijay sethupathi fans hit like
Negative 	 Vaa thalaivaa pongal unnodathu thapetta parak
Positive 	 Ha ah ha ha ah ah. Amaaaaaaaaaaaaaaaaaadioooo. Samaaaaaaaaaaaaaa
Negative 	 Woooooow thalaivaaa neega ungaluku inum 29 yers than thalaivaaa. Semma trailer wooow
Mixed_feelings 	 Vera level thalaiva.... mass marana masss
Mixed_feelings 	 Ipo enna panna porom ? Ahhhh sweet saapda porom
Mixed_feelings 	 Petta!!    ....... Rocking.....  500k likes...  Agree???
Negative 	 Visuwasamavadhu Kusuvaasamavadhu Parak da Petta Parakk!!
Positive 	 Sumarana trailer nu solravanga hit like
Mixed_feelings 	 THALAIVAAAA  VERA LEVEL YA
Negative 	 Anna peaks Anna THE KING IS ON THE WAY STYLE KA BAAP THAILAVAR ROCKS
Mixed_feelings 	 Karthik subbaraj yaaru da ne, una dhan da nanga ithana varsham theditu irundhom, thanks for creating the marana rajinism
Mixed_feelings 	 Sirappana tharamana sampavam inemaythan nadakkapovuthu spr
Negative 	 Thrisha yenga daww ithula kattave illa
Negative 	 Sema masss Rajini & Vjs combo marana waiting
Negative 	 Ilamai inimel pogadhu mudumai unaku vaaradhu theivame.....
Mixed_feelings 	 that final madurai petta style....maranam Mass maranam..adhuku avantan poranthu varanum....love you thalaivaaa
Mixed_feelings 	 Makkal selvan VijaySethupathy Fans like podunga
Mixed_feelings 	 Thalaivar dha thalaivar dha vera  level
Mixed_feelings 	 Maranama iruke ya.... Thalaivaaaa alludhu ponga
Negative 	 kola gaandla irukka mavane kollama vidamaatten.. Thalaivar swag..
Negative 	 Ayoo vanthuruvanga Ithu like panu athuku like panu nu 🤐🤐
Negative 	 Ethana heroes vandhalum Eppavum evar mattum dha SUPER STAR
Negative 	 சிறப்பான தரமான sambavatha inimey than namma paarka porom
Negative 	 Intha pongal Thalaivar pongal  2019 petta parak
Positive 	 Rajini and Vijay sethupathi fans must like
Positive 	 Thalaivaaaaaa waiting for petta pongal 🥳🥳🥳🥳🥳🥳🥳🥳
Positive 	 Style vara level super
Mixed_feelings 	 thank u so much , ennoda 2 thalaivargalaiyum onna pakkurathukku  மகிழ்ச்சி
Mixed_feelings 	 Eppo enna panaporo ..sweet sapda poro
Negative 	 Paakradhuku Chinna paiyan Maari style ah irukeenga....... How true ?
Mixed_feelings 	 Viswasam vs petta 🤘 Tharamana sambavam iruku 🤙
Negative 	 Thalaivar masss ah irukarupa nu sonnavangala hit likes
Negative 	 Kola veri da. Jan 10
Negative 	 Idhu dhan da Namma thalaivar
Positive 	 Only petta fan like...... Petta parak
Positive 	 thalaivaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa semma look, style, 100% blouckbusters
Positive 	 mass Mass mass Mass mass Mass mass Mass mass Mass mass Mass mass Mass mass Mass
Mixed_feelings 	 I like karthick subburaj......direction...... karthick subburaj gets rocks
Mixed_feelings 	 Viswasam teaser ku wait panravan like podu
Mixed_feelings 	 Anna veera maassu maranooo love you Thalaiva
Negative 	 Who Is Biggest Fan Of Rajini Hit Like
Negative 	 Ena da trailer evolo nala ah iruku
Negative 	 1.56 yaru Instagram lae paathathu leak aanathu
Negative 	 Epppppaaaaaa verithanam da dei....... Marana massssssss
Mixed_feelings 	 Marana mass thalaivar intha Pongal ku PETTA sweet namaku
unknown_state 	 Thalaiva.. full Support from kerala Mohanlal Fans
Mixed_feelings 	 Vijay sethupathi fans hit a like
Negative 	 Paaka dhana porom indha kaaliyoda aatatha
Negative 	 Kola kandula irrukam veral level mass thalaiva
Negative 	 Marana mass da     Thalaivar lub
Negative 	 Hey naathan 56 comment uh naanthan
Positive 	 Love You Super star ;) Mega Serapu
Negative 	 Thalaivaaa!!!..therikka vittuta thalaivaaa!!..vayasaanalum unnoda alagum stylum konjam kooda maarala
Negative 	 Vijay sethupathikaga vanthanu Evanavathu sonninga avlotha
Negative 	 Thalaiva veriyans    put a like....
Negative 	 THALAIVAAAA 2018 NAANGATAN 2019 naangathan !!
Negative 	 1st comment nice vera lvl rajini fans hit like
Negative 	 Wow! Back to Baasha mode..thalaivaaaa.petta paraakkkkk
Negative 	 Vera level i love u thalaivaa
Mixed_feelings 	 Bigil trailer pathutu vanthavanga yaaru... Ada like panungappaa namma Superstar ku
Negative 	 Q a q q q nhi upload krte ho yaar my rajni boss
Negative 	 Anyone here even in 2019 july
Positive 	 Who wan anniyaan 2 like here
not-Tamil 	 Тут кто то на Русском разговаривает? Или Арм?
not-Tamil 	 main Tumhare channel ko delete kar diya Mujhe 2.o film doo
not-Tamil 	 Нихрена себе!вот это индусы,вот это удивили, охренеть
Positive 	 2.0 full movie on zee tamil channel
not-Tamil 	 Что за хрень? Очередное индийское кино?
Positive 	 PETTA  or VISWASAM ? ME PERSO PETTA
Positive 	 Super akshay sir i love u sir
Positive 	 Put 2.0 movie in 3d on Feb 3 in telugu
not-Tamil 	 Yaar. 2.0 iski movie ab tak you tube available Nahi hai
Positive 	 Sankar sir kku thanks solla nu
Positive 	 , Best tamil movie 2.0  3d experience me .
Positive 	 Maranam Mass U Maranam #2.O.. (By-Fan of Rajni & Sachin Tendulkar)
not-Tamil 	 Deja de juzgar esta película antes de verla.
not-Tamil 	 Avenger main chitti ko bulla  lo
Positive 	 Joker ku aparam.... Namba Pakhirajan ku dhan villian fan base iruku pollaa
Mixed_feelings 	 ராஜ்னி சூப்பர் ஸ்டார் Akshay is the best actor
Positive 	 Sethu anna Voice  Thalaivar Entry   Kolla Gaandu la irukan Epo varum oh nu
Positive 	 Enga thalaivanna summava  Ippo paruda indha Kaali oda aatatha  Kaala mudinchu Kaali ya vandhirukaruda
Positive 	 All rajini heaters sweet saapdungo kaali da
Positive 	 Paaaa.... Vera level la iruku thalaiva career ah idhu Mukkiyamana padama irukum
Positive 	 marana masskku massa gettha nama thalaivaru  massa  ierukku mudiyathu marana na  style
Negative 	 Enapa gangster padam nu nenacha clg, students, protest, old age love scene la katrenga, kabali madere la irukadea...
Positive 	 Intha padatha pathe aakanum Thalaivaa aaaaaa.........
Positive 	 Superrrrrrrrrrrrrrrrr Star love youuuuu so much sir
Positive 	 Padatha ippove pakanum pola thonuravanga like podunga
Positive 	 Last 5 sec varadhu thuppaki music madhri irukunu solravanglam like podunga
Positive 	 Really super epdiya ivlo irku 37 days la mudicha
Positive 	 Super thalaiva...  Summa madura localu...
Mixed_feelings 	 Dislike ethuku da poduriga . Teast ellatha people...
Positive 	 2:05 Marana massssssssssss luv u thalaivaaaaaaaaaaaa
Mixed_feelings 	 Ivvalavu nallh trailer ah um dislike panringalae,yaru paatha veliya irukku🤔🤔🤔
Positive 	 Kola kandula iruken konne potruven.... vaaree vaa
Positive 	 Ithu thaan da Rajini padam .Pa.Ranjith unaku paadam.
Positive 	 Makkal Selvan VJS Fans Like Here..!
Positive 	 Best makeup (getup) for rajini after Shivaji film!!
Positive 	 Thalaivar ku enna pa vaisu ippadi kalakraru.
Positive 	 Rajini and Simran make a wonderful pair
unknown_state 	 Will it cross sarkar teaser likes?
Negative 	 Vjs mass avalo than solrathuku onnum ila
Mixed_feelings 	 sema but aniruth music sumara irukku ,,,yuvan best ah oottruparu ,,,
Positive 	 Thalaiva.. looking good even at 70..semme
Mixed_feelings 	 sema but aniruth music sumara irukku ,,,yuvan best ah oottruparu ,,,
Positive 	 Jithu Vs Kali ...Petta paarakk...Jithu fans hit like..
Positive 	 Paaka thaane pora. Intha kaali oda aatatha
Mixed_feelings 	 sema but aniruth music sumara irukku ,,,yuvan best ah oottruparu ,,,
Positive 	 Thalaiva un padam illatha valkai wast thalaiva kalakura
Positive 	 Pongal vanda paka thane pora..... 100% petta paraak
Positive 	 Omg awesome... Awesome... Awesome... Luv u thaalaiva..
Positive 	 Semaa this pongal is thalaivar pongal
Positive 	 Rajini padum Nalla gathu tha ethuku athuku trailer la
Positive 	 Ithu dan Namma keata Thalaivar Padam Da evlo naala intha Mari padathuku dan wait panrom
Positive 	 Petta it's a pre padai for Visvasam
Positive 	 Super super super
Mixed_feelings 	 Trailer evalavu nallA irrundhalum ivanunga dislike tha pannuvanga
Positive 	 2:11 semma smile   sweet sapada poroum pongal ku
Positive 	 intha pongal sema super ah iruka pothu
Positive 	 intha pongal sema super ah iruka pothu
Positive 	 Trailer ra mass sa eruku. Apo movie marana Mass.........     ......
Positive 	 Rajni Vijay sethupathi nawaz  Petta
Mixed_feelings 	 Petta k but visuvasam trailer is  still not release
Mixed_feelings 	 Portrait mode vekkama irundhurukalam  2:18
Positive 	 padatha pakka kola kandula iruken diiiiii
Mixed_feelings 	 Ellam sarithan but Vjs padathula irukaranu kekura alavuku trailer iruku
